driver_id,applicant_fountain_id,pu_ca,predicted_driver_ca,no_packages
395669,6aa4c1ea-5cfe-4d99-adbb-bfe60b186b07,London Inner Lower NW,,925
356288,4a119609-fba6-4804-9cd2-87aa2cf0cd25,Plymouth,,1441
345785,3b30262e-fbe9-4d25-a2c3-86ea714d9d35,Liverpool East,,1705
356281,0104e7a8-50cc-4a5c-bdad-953d08ddcece,Cardiff,,1556
373786,62c672f8-e658-492c-80d1-157e7cbd373b,London Outer SW,,1573
350313,aa43d997-8b1a-4080-ac31-c9df2a300293,London Inner Upper NW,London Inner Upper NW,1904
348253,45484369-0f43-4839-a456-1ed13908425d,Liverpool Wirral,,4271
403013,7c17b2ff-0900-47f6-968e-f5e54204b038,Wolverhampton,,1743
365747,371fa5b2-a39f-43eb-81b0-795a05e685ac,London Outer Upper NW,,3123
398820,630a7a88-49f4-4493-91d3-769dd3d7fc57,Cannock,,1356
339477,6b774638-6333-4263-a669-abf466be0324,London Outer Upper NW,,5292
398599,66a1364a-f5e4-4988-924a-3ed96991c879,London Outer Upper NW,,83
398130,3c99d970-cccd-4750-a514-205f80957236,Manchester City,,5244
399718,0338c2f6-7d51-44df-9e1a-95ca67c3b3fc,Oxford,Oxford,501
395653,519d1efb-e9c2-4825-a854-633d0ff10739,London Border NE,,3270
342931,fdb6f572-d371-4f36-a369-8e5883b0e7ac,Reading,,4998
392641,b23cda74-ab71-48eb-b794-ad1f9227058e,London Inner S,,2397
358499,4a74b08b-2c5c-4b15-94c0-72df47ba45ee,Manchester City,,3546
393898,0f61b6f3-d2ad-4ad8-bf47-06fcb5aabaad,Hull,,4026
346066,743a34c4-0a89-4448-8d49-3412eaf02264,London Outer NE,,6940
356312,14f7e9f3-f527-4e57-bf10-9d4d31e70ed7,Liverpool Wirral,,2956
348315,2c812457-5432-41b9-a62b-e37c6ca585cc,London Outer S,,4485
362078,1b30467d-cbb9-44e0-ae78-8c372f5ae3a4,London Outer Lower NW,,1470
351255,c429afd5-474b-4e13-a5ed-40971365ba63,London Outer S,London Inner Upper NW,1401
362283,dd31dcf6-b4f6-4240-bd61-f96a7a51152d,London Outer Upper NW,,3552
368353,4bed201c-6cb1-4953-b9c8-56cd17d8732f,London Outer Lower NW,,2721
350977,9009a43e-946e-468b-a8b6-62d4f7a913eb,London Border N,,3682
368674,06991a34-4d66-4b1c-a484-e51ebfa6f49e,London Inner Lower NW,,2309
338317,7a7e31b7-71ad-40a8-96cb-2395f7652094,London Outer N,,3381
366446,de788577-44a8-4dd1-a552-c9cdf1b88d9b,London Outer Upper NW,London Outer Upper NW,545
366079,5c5855bd-c04f-4306-9979-98f1a40a6c33,Leicester,,2621
337740,6535ae34-e249-495a-9f2f-7d7b66690508,London Outer E,,6740
386544,3c28ec6c-1d8e-48dd-83bf-f873247c5898,Cannock,,1068
401315,bf006359-68d2-415a-b86f-00a9ba2993d1,Manchester City,Middleton,115
400074,46ef82fd-762e-49e3-8b60-d88c50a226d8,London Inner Lower NW,,74
373777,ea0c4c2f-abab-453f-9707-a8c8ca5f4a8b,London Outer NE,,4318
382371,9ce2909a-23da-4cd1-a23f-7b5de991dfa9,London Border N,,5132
391360,c92c1e1e-611f-4ccc-b672-83db976ca4ee,London Outer S,,1554
395405,ecd75349-2118-4a73-808e-1d896e79a0ae,Wolverhampton,,2585
339827,a82605a3-5ccf-4ae2-8931-e630a48113fb,London Inner Upper NW,,2755
366563,875016c4-c127-4346-8df2-e6847c661e55,Nottingham North,,2970
364175,d49052cb-8621-462b-8d8c-b1ab62fd87d4,Newcastle,Newcastle,1693
355801,c52caa9f-c89f-452c-8c22-3ed1ee88f5b8,Newcastle,,2253
366664,49c909b9-3457-4b82-b507-c852a70aaba6,Stockport,,3232
344477,032b8e7c-d8ad-47b2-b8d1-9e79b5edfa0c,Reading,,6136
354320,bb8fa669-7fc3-4ec8-9fb6-0ec93abaa573,London Outer SE,,2187
342934,07d42afd-c465-4954-a23e-469a68fdd69c,London Inner Lower NW,,48
396891,8934c8d6-91a6-43c3-9217-752628612e29,London Outer S,London Outer S,250
350960,3c4241d6-54a4-441f-a55f-6c081c6d4ccb,London Outer SE,,5432
401877,f48bf3f0-d9c7-477a-acbd-5553df06210c,London Inner S,,3859
401602,8b04cf67-31e3-4357-843c-95f4493ef677,London Outer E,,2187
382582,fbeabf15-5306-4e7f-b288-43e18b8b3254,Gateshead,,316
337536,2e5310e5-3ee1-4fe8-b4ad-504dec12d8bd,Dudley & West Bromwich,,7063
338345,1ee2977a-0f42-490d-a08c-0ca06a63f667,London Border N,,3137
371724,aaf9a577-c8ec-419c-b9ad-2c61f8c5c579,Reading,,1027
340294,b62cd81e-7d2e-4455-840c-1b7acdb25503,London Border NE,,3550
342561,ca7d28bf-4372-4037-940b-be7c398f4f29,Liverpool East,,4914
370029,bed575d4-07e4-4a59-8c69-f1dc9f9f234d,Wolverhampton,,3250
395378,4a199fed-e115-4903-95db-ebd9330b3a21,Stourbridge,,3063
339324,247c7c45-4529-4beb-80f7-2e46de02026a,Plymouth,,6858
382592,7768c706-bf96-4084-b5c5-4565ab64dfa9,London Inner S,,743
367943,fbeb0fc2-5d89-4ea7-b3e0-de88eb6569b4,Liverpool East,,1170
393155,1936c606-1b12-4064-b991-d3d3409817e1,London Outer S,,1821
388053,3f668e39-3fea-4121-bc83-f26d2e65250f,Huddersfield,,943
337516,91048eed-a846-410c-9137-6fa10152b43f,London Outer SW,,2332
393304,ce4b0c72-5a6f-482c-a3e4-c86b20588b5a,Derby,,305
373728,ff248c8f-42b7-496c-8821-a2ec4d862590,London Inner Lower NW,,2875
373459,6024cc02-f82a-419e-9fde-041fe4f1775a,London Outer Lower NW,,2037
358397,c7171c93-facf-454c-baf2-2d34c1ab6f6d,London Outer Upper NW,,2540
395874,94107c0a-ccf2-426e-a0ee-cd2f7d3080fa,London Inner S,,2629
387611,045e48c7-e440-4e06-96aa-9e4d62deed85,Manchester City,,4202
383026,de891a0d-6354-4b8f-9cf0-74f19c857222,London Border NE,,3611
339718,65fee545-e924-4810-8da4-ef0a1456c80a,London Outer S,,3925
367429,c1e24c4f-8126-43c3-a1d8-cd209f954c00,London Outer SE,,3528
385692,a82b9ce2-3c79-42b9-ac0a-f464d1a6e5f2,Leeds South,,5589
350655,3fed2df2-defa-4253-abc8-a019d96cbe4a,London Border NE,,2592
353181,8c474b03-dc14-40e1-bb79-4a6a3c64f5fb,Gateshead,,1528
355399,f3c295cd-07c8-4c23-9a4c-b99d13e892fe,London Outer E,,7238
362631,00c1f6dc-28c5-42bc-8509-76f9c650c497,Wakefield,,7501
337531,0f673cd1-4e46-4251-9c7e-ee501a34d824,London Inner E,,1838
365602,7b0faddc-5be2-48a8-b9b8-431f1a1926a6,Nottingham North,,4390
362607,7a160bb1-b525-4a14-9625-535856022baa,Gateshead,,5209
382566,2b0d7e00-938c-4dd3-803f-e710ad196e49,Gateshead,,3753
